,STATE/UT,DISTRICT,YEAR,SAFE/UNSAFE
0,ANDHRA PRADESH,ADILABAD,2001,unsafe
1,ANDHRA PRADESH,ANANTAPUR,2001,unsafe
2,ANDHRA PRADESH,CHITTOOR,2001,unsafe
3,ANDHRA PRADESH,CUDDAPAH,2001,unsafe
4,ANDHRA PRADESH,EAST GODAVARI,2001,unsafe
5,ANDHRA PRADESH,GUNTAKAL RLY.,2001,unsafe
6,ANDHRA PRADESH,GUNTUR,2001,unsafe
7,ANDHRA PRADESH,HYDERABAD CITY,2001,unsafe
8,ANDHRA PRADESH,KARIMNAGAR,2001,unsafe
9,ANDHRA PRADESH,KHAMMAM,2001,unsafe
10,ANDHRA PRADESH,KRISHNA,2001,unsafe
11,ANDHRA PRADESH,KURNOOL,2001,unsafe
12,ANDHRA PRADESH,MAHABOOBNAGAR,2001,unsafe
13,ANDHRA PRADESH,MEDAK,2001,unsafe
14,ANDHRA PRADESH,NALGONDA,2001,unsafe
15,ANDHRA PRADESH,NELLORE,2001,unsafe
16,ANDHRA PRADESH,NIZAMABAD,2001,unsafe
17,ANDHRA PRADESH,PRAKASHAM,2001,unsafe
18,ANDHRA PRADESH,RANGA REDDY,2001,unsafe
19,ANDHRA PRADESH,SECUNDERABAD RLY.,2001,unsafe
20,ANDHRA PRADESH,SRIKAKULAM,2001,unsafe
21,ANDHRA PRADESH,VIJAYAWADA,2001,unsafe
22,ANDHRA PRADESH,VIJAYAWADA RLY.,2001,unsafe
23,ANDHRA PRADESH,VISAKHA RURAL,2001,unsafe
24,ANDHRA PRADESH,VISAKHAPATNAM,2001,unsafe
25,ANDHRA PRADESH,VIZIANAGARAM,2001,unsafe
26,ANDHRA PRADESH,WARANGAL,2001,unsafe
27,ANDHRA PRADESH,WEST GODAVARI,2001,unsafe
28,ANDHRA PRADESH,TOTAL,2001,unsafe
29,ANDHRA PRADESH,ADILABAD,2002,unsafe
30,ANDHRA PRADESH,ANANTAPUR,2002,unsafe
31,ANDHRA PRADESH,CHITTOOR,2002,unsafe
32,ANDHRA PRADESH,CUDDAPAH,2002,unsafe
33,ANDHRA PRADESH,EAST GODAVARI,2002,unsafe
34,ANDHRA PRADESH,GUNTAKAL RLY.,2002,unsafe
35,ANDHRA PRADESH,GUNTUR,2002,unsafe
36,ANDHRA PRADESH,HYDERABAD CITY,2002,unsafe
37,ANDHRA PRADESH,KARIMNAGAR,2002,unsafe
38,ANDHRA PRADESH,KHAMMAM,2002,unsafe
39,ANDHRA PRADESH,KRISHNA,2002,unsafe
40,ANDHRA PRADESH,KURNOOL,2002,unsafe
41,ANDHRA PRADESH,MAHABOOBNAGAR,2002,unsafe
42,ANDHRA PRADESH,MEDAK,2002,unsafe
43,ANDHRA PRADESH,NALGONDA,2002,unsafe
44,ANDHRA PRADESH,NELLORE,2002,unsafe
45,ANDHRA PRADESH,NIZAMABAD,2002,unsafe
46,ANDHRA PRADESH,PRAKASHAM,2002,unsafe
47,ANDHRA PRADESH,RANGA REDDY,2002,unsafe
48,ANDHRA PRADESH,SECUNDERABAD RLY.,2002,unsafe
49,ANDHRA PRADESH,SRIKAKULAM,2002,unsafe
50,ANDHRA PRADESH,VIJAYAWADA,2002,unsafe
51,ANDHRA PRADESH,VIJAYAWADA RLY.,2002,unsafe
52,ANDHRA PRADESH,VISAKHA RURAL,2002,unsafe
53,ANDHRA PRADESH,VISAKHAPATNAM,2002,unsafe
54,ANDHRA PRADESH,VIZIANAGARAM,2002,unsafe
55,ANDHRA PRADESH,WARANGAL,2002,unsafe
56,ANDHRA PRADESH,WEST GODAVARI,2002,unsafe
57,ANDHRA PRADESH,TOTAL,2002,unsafe
58,ANDHRA PRADESH,ADILABAD,2003,unsafe
59,ANDHRA PRADESH,ANANTAPUR,2003,unsafe
60,ANDHRA PRADESH,CHITTOOR,2003,unsafe
61,ANDHRA PRADESH,CUDDAPAH,2003,unsafe
62,ANDHRA PRADESH,CYBERABAD,2003,unsafe
63,ANDHRA PRADESH,EAST GODAVARI,2003,unsafe
64,ANDHRA PRADESH,GUNTAKAL RLY.,2003,unsafe
65,ANDHRA PRADESH,GUNTUR,2003,unsafe
66,ANDHRA PRADESH,HYDERABAD CITY,2003,unsafe
67,ANDHRA PRADESH,KARIMNAGAR,2003,unsafe
68,ANDHRA PRADESH,KHAMMAM,2003,unsafe
69,ANDHRA PRADESH,KRISHNA,2003,unsafe
70,ANDHRA PRADESH,KURNOOL,2003,unsafe
71,ANDHRA PRADESH,MAHABOOBNAGAR,2003,unsafe
72,ANDHRA PRADESH,MEDAK,2003,unsafe
73,ANDHRA PRADESH,NALGONDA,2003,unsafe
74,ANDHRA PRADESH,NELLORE,2003,unsafe
75,ANDHRA PRADESH,NIZAMABAD,2003,unsafe
76,ANDHRA PRADESH,PRAKASHAM,2003,unsafe
77,ANDHRA PRADESH,RANGA REDDY,2003,unsafe
78,ANDHRA PRADESH,SECUNDERABAD RLY.,2003,unsafe
79,ANDHRA PRADESH,SRIKAKULAM,2003,unsafe
80,ANDHRA PRADESH,VIJAYAWADA,2003,unsafe
81,ANDHRA PRADESH,VIJAYAWADA RLY.,2003,unsafe
82,ANDHRA PRADESH,VISAKHA RURAL,2003,unsafe
83,ANDHRA PRADESH,VISAKHAPATNAM,2003,unsafe
84,ANDHRA PRADESH,VIZIANAGARAM,2003,unsafe
85,ANDHRA PRADESH,WARANGAL,2003,unsafe
86,ANDHRA PRADESH,WEST GODAVARI,2003,unsafe
87,ANDHRA PRADESH,TOTAL,2003,unsafe
88,ANDHRA PRADESH,ADILABAD,2004,unsafe
89,ANDHRA PRADESH,ANANTAPUR,2004,unsafe
90,ANDHRA PRADESH,CHITTOOR,2004,unsafe
91,ANDHRA PRADESH,CUDDAPAH,2004,unsafe
92,ANDHRA PRADESH,CYBERABAD,2004,unsafe
93,ANDHRA PRADESH,EAST GODAVARI,2004,unsafe
94,ANDHRA PRADESH,GUNTAKAL RLY.,2004,unsafe
95,ANDHRA PRADESH,GUNTUR,2004,unsafe
96,ANDHRA PRADESH,HYDERABAD CITY,2004,unsafe
97,ANDHRA PRADESH,KARIMNAGAR,2004,unsafe
98,ANDHRA PRADESH,KHAMMAM,2004,unsafe
99,ANDHRA PRADESH,KRISHNA,2004,unsafe
100,ANDHRA PRADESH,KURNOOL,2004,unsafe
101,ANDHRA PRADESH,MAHABOOBNAGAR,2004,unsafe
102,ANDHRA PRADESH,MEDAK,2004,unsafe
103,ANDHRA PRADESH,NALGONDA,2004,unsafe
104,ANDHRA PRADESH,NELLORE,2004,unsafe
105,ANDHRA PRADESH,NIZAMABAD,2004,unsafe
106,ANDHRA PRADESH,PRAKASHAM,2004,unsafe
107,ANDHRA PRADESH,RANGA REDDY,2004,unsafe
108,ANDHRA PRADESH,SECUNDERABAD RLY.,2004,unsafe
109,ANDHRA PRADESH,SRIKAKULAM,2004,unsafe
110,ANDHRA PRADESH,VIJAYAWADA,2004,unsafe
111,ANDHRA PRADESH,VIJAYAWADA RLY.,2004,unsafe
112,ANDHRA PRADESH,VISAKHA RURAL,2004,unsafe
113,ANDHRA PRADESH,VISAKHAPATNAM,2004,unsafe
114,ANDHRA PRADESH,VIZIANAGARAM,2004,unsafe
115,ANDHRA PRADESH,WARANGAL,2004,unsafe
116,ANDHRA PRADESH,WEST GODAVARI,2004,unsafe
117,ANDHRA PRADESH,TOTAL,2004,unsafe
118,ANDHRA PRADESH,ADILABAD,2005,unsafe
119,ANDHRA PRADESH,ANANTAPUR,2005,unsafe
120,ANDHRA PRADESH,CHITTOOR,2005,unsafe
121,ANDHRA PRADESH,CUDDAPAH,2005,unsafe
122,ANDHRA PRADESH,CYBERABAD,2005,unsafe
123,ANDHRA PRADESH,EAST GODAVARI,2005,unsafe
124,ANDHRA PRADESH,GUNTAKAL RLY.,2005,unsafe
125,ANDHRA PRADESH,GUNTUR,2005,unsafe
126,ANDHRA PRADESH,HYDERABAD CITY,2005,unsafe
127,ANDHRA PRADESH,KARIMNAGAR,2005,unsafe
128,ANDHRA PRADESH,KHAMMAM,2005,unsafe
129,ANDHRA PRADESH,KRISHNA,2005,unsafe
130,ANDHRA PRADESH,KURNOOL,2005,unsafe
131,ANDHRA PRADESH,MAHABOOBNAGAR,2005,unsafe
132,ANDHRA PRADESH,MEDAK,2005,unsafe
133,ANDHRA PRADESH,NALGONDA,2005,unsafe
134,ANDHRA PRADESH,NELLORE,2005,unsafe
135,ANDHRA PRADESH,NIZAMABAD,2005,unsafe
136,ANDHRA PRADESH,PRAKASHAM,2005,unsafe
137,ANDHRA PRADESH,RANGA REDDY,2005,unsafe
138,ANDHRA PRADESH,SECUNDERABAD RLY.,2005,unsafe
139,ANDHRA PRADESH,SRIKAKULAM,2005,unsafe
140,ANDHRA PRADESH,VIJAYAWADA,2005,unsafe
141,ANDHRA PRADESH,VIJAYAWADA RLY.,2005,unsafe
142,ANDHRA PRADESH,VISAKHA RURAL,2005,unsafe
143,ANDHRA PRADESH,VISAKHAPATNAM,2005,unsafe
144,ANDHRA PRADESH,VIZIANAGARAM,2005,unsafe
145,ANDHRA PRADESH,WARANGAL,2005,unsafe
